retrieved_at_utc	http_status	bytes	sha256_body	url	final_url	notice_kind	short_quote
2026-09-24T06:51:15Z	200	819	373342c603ad547234bc0aee0fdb4407c6e9d2588acaeb4ab850f34f7e9065b3	https://api.github.com/repos/dosm-malaysia/data-open/readme	https://api.github.com/repos/dosm-malaysia/data-open/readme	README (title only; no licence text)	
2026-09-24T06:51:38Z	200	49315	b0c0a684c7cd8e5fc441c9846db1d0bdf5f433432d48e96e995a1cb57d78f942	https://developer.data.gov.my/faq	https://developer.data.gov.my/faq	API/platform licence statement (developer portal FAQ)	Creative Commons Attribution 4.0 International License (CC BY 4.0)
2026-09-24T06:51:42Z	200	129159	cde3c4fe2cb43fc7d7fbabafc960a0b710546c596e341ce3cea6034012b66413	https://developer.data.gov.my/realtime-api/weather	https://developer.data.gov.my/realtime-api/weather	Weather API docs: provenance	The data is provided by MET Malaysia
2026-09-24T06:51:45Z	200	140465	e28b963eff733d225ae5e4476eb80335508369b5c6a323d4909f12e378347ea9	https://data.gov.my/	https://data.gov.my/	portal home; footer 'Guiding Principles' PDF link; no terms page	
2026-09-24T06:51:48Z	200	89152	7a331eba5edf70c53f49373a23ba9e2b0e4039403189248d6d5530a0c7b2eadd	https://data.gov.my/data-catalogue/air_pollution	https://data.gov.my/data-catalogue/air_pollution	dataset licence on catalogue page	made open under the Creative Commons Attribution 4.0 International License
2026-09-24T06:51:51Z	200	61903	0a6e5ac6f5e30dfaa9350708fee9eaf2b344bc3891762f530c3f01a410c24312	https://archive.data.gov.my/data/en_US/dataset/senarai-kawasan-banjir-pulau-pinang	https://archive.data.gov.my/data/en_US/dataset/senarai-kawasan-banjir-pulau-pinang	dataset licence on CKAN catalogue page (license_id cc-by, no version)	License Creative Commons Attribution
2026-09-24T06:51:55Z	200	144535	204f3864520b0c7fc96238ab790cd6e3d5e74344a254ce28a3f86fad93a89369	https://data.gov.my/dashboard/weather-and-climate	https://data.gov.my/dashboard/weather-and-climate	dashboard; no licence text on page	
2026-09-24T06:52:30Z	200	47365	e861195af44ae3884b859b6090fa97ec23ec24ec29b2c8ac58f74c365a1002b5	https://developer.data.gov.my/rate-limit	https://developer.data.gov.my/rate-limit	API rate limits	Weather 4 requests per minute
2026-09-24T06:53:02Z	200	166948	b213b2502858be5bd97d92aa3ecf3290932baeed58e05c9cf4526a9d82c38526	https://www.met.gov.my/	https://www.met.gov.my/	METMalaysia home; footer legal links	
2026-09-24T06:53:05Z	200	150046	61c698c39f2f496997212112710f7fdb4b6d5224126589e9cf31fb6aaf3205a8	https://www.met.gov.my/info/data-terbuka	https://www.met.gov.my/info/data-terbuka/	open data statement (METMalaysia)	boleh dikongsi dan digunakan semula ... untuk sebarang tujuan
2026-09-24T06:53:15Z	200	144107	d39e44b1e0a5d17a42532a771e4092946d1fbe1868402720594253865019a979	https://www.met.gov.my/info/kenyataan-hak-cipta	https://www.met.gov.my/info/kenyataan-hak-cipta/	website copyright notice (METMalaysia, BM)	tanpa persetujuan bertulis terlebih dahulu daripada Jabatan Meteorologi Malaysia
2026-09-24T06:53:19Z	200	143881	8e391b0b905d3bd7e1f052e4cced202ed7ebfff25bcba35eeda1bc738116c378	https://www.met.gov.my/info/dasar-penafian	https://www.met.gov.my/info/dasar-penafian/	website disclaimer (METMalaysia, BM)	tidak akan bertanggungjawab terhadap sebarang kerugian atau kerosakan
2026-09-24T06:53:22Z	200	166372	a4e1c50c47b3f3e96aba5a61c3759b86889bee7662bd6018f853963b179b5031	https://www.met.gov.my/info/soalan-lazim	https://www.met.gov.my/info/soalan-lazim/	FAQ: data requests via myMETdata, fees per Fee Order	
2026-09-24T06:53:26Z	200	17456	936e10f1af9845112dd19cd342ebcc7ff983899eb4548b9f6c5e59faf09c4265	https://api.met.gov.my/	https://api.met.gov.my/	API landing: registration, limits, disclaimer	1,000 requests a day with a burstable limit of 3 requests per minute
2026-09-24T06:53:30Z	200	31340	b220f5c38b6be9a3695f2353580b7c89d09c0a2e80dc285ca51b22d57736f78e	https://mymetdata.met.gov.my/	https://mymetdata.met.gov.my/	myMETdata home: fee order, pricing, login	
2026-09-24T06:53:36Z	200	155520	a58c2a6fc597980db3034a39af4658c97f9c4dee1c8b460c6b8ef5ef5b390e93	https://www.met.gov.my/hubungi-kami/alamat-pejabat	https://www.met.gov.my/hubungi-kami/alamat-pejabat/	METMalaysia contacts incl. data purchase office	
2026-09-24T06:55:00Z	200	23921	b1ea636cb3415c795c53eb63cfe7dfd5ea631f70b2a7950a4e563875074013f8	https://mymetdata.met.gov.my/guideline	https://mymetdata.met.gov.my/guideline	myMETdata procedure headings only	
2026-09-24T06:55:04Z	200	22853	62ef162d9a2b1e60213c14afbd74c2a2bb9a9319c3275017a9f2f9ee3aebbe09	https://mymetdata.met.gov.my/copyright	https://mymetdata.met.gov.my/copyright	website copyright notice (myMETdata, same as met.gov.my)	
2026-09-24T06:55:40Z	200	51283	0ce43147735fb339e169ee1bde57881f8b3188f38d7f75b9fe57c98ea33a0376	https://www.mygeoportal.gov.my/ms/perkongsian-data-mygdi	https://www.mygeoportal.gov.my/ms/perkongsian-data-mygdi	MyGDI data sharing: application procedure (G2G/G2B/G2C/G2E), sample letter	
2026-09-24T06:55:43Z	200	27413	eccdd2045176c45b0fad5a501b072ef3c8a398d18913c4024e95dc288a98b1d9	https://mydims.nadma.gov.my/awam/laporan-bulanan	https://mydims.nadma.gov.my/awam/laporan-bulanan	MyDIMS reports list; no terms found	
2026-09-24T06:55:47Z	200	63204	19433398ab748ef16c9fc2f2218dcf2377ba63fd80154258dc1c65c560acff0b	https://infobencanajkmv2.jkm.gov.my/landing/	https://infobencanajkmv2.jkm.gov.my/landing/	InfoBencana; 'Terma & Syarat' link is '#'	
2026-09-24T06:56:14Z	200	87936	83ffc0896d81cce080397c615f8841bf60832ecb886e06300cf1ad64ade590f2	https://mydims.nadma.gov.my/	https://mydims.nadma.gov.my/login	MyDIMS home; no terms found	
2026-09-24T06:56:18Z	200	81445	25a2f16b7b89f1fb721d7b070e7faa1cab337d02cd3c948108f53863ab13ff16	https://portalbencana.nadma.gov.my/en/	https://portalbencana.nadma.gov.my/en/	NADMA portal; privacy policy link only	
2026-09-24T06:56:32Z	200	41668	cd029dfe52fa8cd287725c088e943042be37541b520ce833fd82066a1248a16c	https://www.mygeoportal.gov.my/ms/notis-hak-cipta	https://www.mygeoportal.gov.my/ms/notis-hak-cipta	website copyright notice (MyGeoportal)	tanpa mendapat kebenaran secara bertulis yang jelas terlebih dahulu
2026-09-24T06:56:36Z	200	46940	ea63176b9437c080e03b17e045072b957a59bc142032636868dbecb4118d3613	https://www.mygeoportal.gov.my/ms/terma-dan-syarat	https://www.mygeoportal.gov.my/ms/terma-dan-syarat	website terms and conditions (MyGeoportal)	
2026-09-24T07:03:07Z	200	48970	6d55b998ed5c54f43426d059a8c549ed58a3321e5463e6a6af1c6b56ab78c333	https://creativecommons.org/licenses/by/4.0/legalcode.en	https://creativecommons.org/licenses/by/4.0/legalcode.en	CC BY 4.0 legal code, Section 3(a) attribution conditions	indicate if You modified the Licensed Material
