jps_internal_id,jps_display_station_id,fg_display_station_id_flag,station_name,state,district,latest_observation_time,fg_freshness_minutes,fg_freshness_status,source_row,source_url,discovered_at
27615,0060221RF,ok,Kompleks Perai (F2),Pulau Pinang,Seberang Perai Tengah,2026-09-24T01:45:00,0,reporting,6,https://publicinfobanjir.water.gov.my/wp-content/themes/shapely/agency/searchresultrainfall.php?state=PNG&district=ALL&station=ALL&loginStatus=0&language=0,2026-09-24T01:57:44+08:00
27616,0000000RF,duplicate,Pejabat Pertanian Cherok Tok Kun (F2),Pulau Pinang,Seberang Perai Tengah,2026-09-23T18:00:00,465,stale,7,https://publicinfobanjir.water.gov.my/wp-content/themes/shapely/agency/searchresultrainfall.php?state=PNG&district=ALL&station=ALL&loginStatus=0&language=0,2026-09-24T01:57:44+08:00
27617,0070061RF,ok,Pusat Kesihatan Bukit Berapit (F2),Pulau Pinang,Seberang Perai Tengah,2026-09-24T01:45:00,0,reporting,8,https://publicinfobanjir.water.gov.my/wp-content/themes/shapely/agency/searchresultrainfall.php?state=PNG&district=ALL&station=ALL&loginStatus=0&language=0,2026-09-24T01:57:44+08:00
27618,0070051RF,ok,Permatang Rawa (F2),Pulau Pinang,Seberang Perai Tengah,2026-09-24T01:45:00,0,reporting,9,https://publicinfobanjir.water.gov.my/wp-content/themes/shapely/agency/searchresultrainfall.php?state=PNG&district=ALL&station=ALL&loginStatus=0&language=0,2026-09-24T01:57:44+08:00
27619,0060241RF,ok,Rumah Pam Kubang Semang (F2),Pulau Pinang,Seberang Perai Tengah,2026-09-24T01:45:00,0,reporting,10,https://publicinfobanjir.water.gov.my/wp-content/themes/shapely/agency/searchresultrainfall.php?state=PNG&district=ALL&station=ALL&loginStatus=0&language=0,2026-09-24T01:57:44+08:00
27620,0070071RF,ok,JPS SPT (F2),Pulau Pinang,Seberang Perai Tengah,2026-09-24T01:45:00,0,reporting,11,https://publicinfobanjir.water.gov.my/wp-content/themes/shapely/agency/searchresultrainfall.php?state=PNG&district=ALL&station=ALL&loginStatus=0&language=0,2026-09-24T01:57:44+08:00
27624,0080071RF,ok,Simpang Ampat (F2),Pulau Pinang,Seberang Perai Tengah,2026-09-24T01:45:00,0,reporting,12,https://publicinfobanjir.water.gov.my/wp-content/themes/shapely/agency/searchresultrainfall.php?state=PNG&district=ALL&station=ALL&loginStatus=0&language=0,2026-09-24T01:57:44+08:00
27627,0060201RF,ok,Sek. Keb. Bakap Indah (F2),Pulau Pinang,Seberang Perai Selatan,2026-09-24T01:45:00,0,reporting,13,https://publicinfobanjir.water.gov.my/wp-content/themes/shapely/agency/searchresultrainfall.php?state=PNG&district=ALL&station=ALL&loginStatus=0&language=0,2026-09-24T01:57:44+08:00
27628,0080081RF,ok,Kg. Sethu (F2),Pulau Pinang,Seberang Perai Selatan,2026-09-24T01:45:00,0,reporting,14,https://publicinfobanjir.water.gov.my/wp-content/themes/shapely/agency/searchresultrainfall.php?state=PNG&district=ALL&station=ALL&loginStatus=0&language=0,2026-09-24T01:57:44+08:00
27629,0060211RF,ok,Kuarters Penjara Sg. Duri (F2),Pulau Pinang,Seberang Perai Selatan,2026-09-24T01:45:00,0,reporting,15,https://publicinfobanjir.water.gov.my/wp-content/themes/shapely/agency/searchresultrainfall.php?state=PNG&district=ALL&station=ALL&loginStatus=0&language=0,2026-09-24T01:57:44+08:00
27641,0050591RF,ok,Lahar Ikan Mati (F2),Pulau Pinang,Seberang Perai Utara,2026-09-24T01:45:00,0,reporting,16,https://publicinfobanjir.water.gov.my/wp-content/themes/shapely/agency/searchresultrainfall.php?state=PNG&district=ALL&station=ALL&loginStatus=0&language=0,2026-09-24T01:57:44+08:00
27643,0050521RF,ok,Bakar Kapor (F2),Pulau Pinang,Seberang Perai Utara,2026-09-23T22:00:00,225,stale,17,https://publicinfobanjir.water.gov.my/wp-content/themes/shapely/agency/searchresultrainfall.php?state=PNG&district=ALL&station=ALL&loginStatus=0&language=0,2026-09-24T01:57:44+08:00
27644,0050441RF,ok,Rumah Pam Pinang Tunggal (F2),Pulau Pinang,Seberang Perai Utara,2026-09-24T01:45:00,0,reporting,18,https://publicinfobanjir.water.gov.my/wp-content/themes/shapely/agency/searchresultrainfall.php?state=PNG&district=ALL&station=ALL&loginStatus=0&language=0,2026-09-24T01:57:44+08:00
27645,0050631RF,ok,Rumah Pam Bumbung Lima (F2),Pulau Pinang,Seberang Perai Utara,2026-09-24T01:45:00,0,reporting,19,https://publicinfobanjir.water.gov.my/wp-content/themes/shapely/agency/searchresultrainfall.php?state=PNG&district=ALL&station=ALL&loginStatus=0&language=0,2026-09-24T01:57:44+08:00
27646,0050611RF,ok,Permatang Binjai (F2),Pulau Pinang,Seberang Perai Utara,2026-09-24T01:45:00,0,reporting,20,https://publicinfobanjir.water.gov.my/wp-content/themes/shapely/agency/searchresultrainfall.php?state=PNG&district=ALL&station=ALL&loginStatus=0&language=0,2026-09-24T01:57:44+08:00
27647,0060151RF,ok,Ara Kuda (F2),Pulau Pinang,Seberang Perai Utara,2026-09-24T01:45:00,0,reporting,21,https://publicinfobanjir.water.gov.my/wp-content/themes/shapely/agency/searchresultrainfall.php?state=PNG&district=ALL&station=ALL&loginStatus=0&language=0,2026-09-24T01:57:44+08:00
27648,0050351RF,ok,Permatang Pak Elong (F2),Pulau Pinang,Seberang Perai Utara,2026-09-23T18:30:00,435,stale,22,https://publicinfobanjir.water.gov.my/wp-content/themes/shapely/agency/searchresultrainfall.php?state=PNG&district=ALL&station=ALL&loginStatus=0&language=0,2026-09-24T01:57:44+08:00
27649,0050601RF,ok,Pajak Song (F2),Pulau Pinang,Seberang Perai Utara,2026-09-24T01:45:00,0,reporting,23,https://publicinfobanjir.water.gov.my/wp-content/themes/shapely/agency/searchresultrainfall.php?state=PNG&district=ALL&station=ALL&loginStatus=0&language=0,2026-09-24T01:57:44+08:00
27659,0050581RF,ok,Guar Kepayang (F2),Pulau Pinang,Seberang Perai Utara,2026-09-24T01:45:00,0,reporting,24,https://publicinfobanjir.water.gov.my/wp-content/themes/shapely/agency/searchresultrainfall.php?state=PNG&district=ALL&station=ALL&loginStatus=0&language=0,2026-09-24T01:57:44+08:00
